X,Y,speed,direction,angular_vel,DX,DY
0.8007017,-0.2753365,0.8467191982086741,341.0234942867581,0.0,0.8007017,-0.2753365
0.8006503626202196,-0.2754165530039242,9.510000000001959e-05,237.32825741999974,0.0,-5.133737978035846e-05,-8.005300392421866e-05
0.8005481760791406,-0.2755758977077053,0.00018929559899999657,237.32825742000668,0.0018344818800726831,-0.00010218654107896352,-0.00015934470378109467
0.800395623952287,-0.2758137800472777,0.000282595397853531,237.328257420017,0.005471831824288922,-0.0001525521268536112,-0.0002378823395723928
0.8001931938646175,-0.27612945867560673,0.00037500791561991345,237.32982709197847,0.010897545789500453,-0.00020243008766951398,-0.00031567862832904137
0.7999413822857059,-0.27652220793944465,0.0004665415903423811,237.3339973170689,0.018104775399591103,-0.00025181157891163153,-0.0003927492638379215
0.7996406998985655,-0.2769913212186383,0.0005572047798182191,237.3417928209329,0.02709436500274694,-0.0003006823871404274,-0.00046911327919363366
0.7992916768463958,-0.2775361141752594,0.0006470057623621451,237.35423657165722,0.03787498438529269,-0.00034902305216966134,-0.0005447929566211318
0.7988948678998732,-0.2781559279310641,0.0007359527375620451,237.37235422609385,0.05046336123148343,-0.0003968089465226088,-0.0006198137558046657
0.7984508575885291,-0.27885013219009697,0.0008240538270278758,237.39717868051275,0.06488461988478628,-0.00044401031134411184,-0.0006942042590328823
0.797960265341348,-0.2796181283218805,0.00091131707513281,237.42975478450433,0.08117273571011907,-0.0004905922471810653,-0.0007679961317835216
0.7974237506840319,-0.2804593524195251,0.0009977504497483032,237.47114428163994,0.09937111749539064,-0.0005365146573160784,-0.0008412240976445884
0.7968420185435094,-0.28137327834622217,0.0010833618429712236,237.52243104649688,0.11953333400614453,-0.000581732140522484,-0.00091392592669709
0.7962158247143328,-0.2823594207829086,0.0011681590718445514,237.5847266960202,0.14172400519487754,-0.0006261938291766134,-0.0009861424366864324
0.7955459815467458,-0.28341733828937843,0.0012521498790713243,237.65917666331185,0.16601988388915315,-0.0006698431675870031,-0.0010579175064698298
0.7948333639226228,-0.2845466363907423,0.0013353419337213735,237.746966835586,0.1925111603261101,-0.000712617624123002,-0.0011292981013638625
0.7940789155934044,-0.28574697070085475,0.0014177428319316824,237.84933087422684,0.2043901741459158,-0.000754448329218449,-0.0012003343101124608
0.7932836559639069,-0.28701805009411335,0.0014993600975999957,237.96755835597364,0.21615621854429512,-0.0007952596294974468,-0.0012710793932586006
0.7924484436355976,-0.28835948818274126,0.0015802011830718082,238.09259201128387,0.22781036786044587,-0.0008352123283092983,-0.001341438088627911
0.7915741530898095,-0.2897709144245748,0.0016602734698208266,238.22436711344858,0.23935368621660003,-0.0008742905457881367,-0.0014114262418335466
0.7906616741678596,-0.291251973385716,0.0017395842691228002,238.3628195513135,0.2507872276151871,-0.0009124789219498997,-0.0014810589611412017
0.7897119115688496,-0.2928023240095348,0.0018181408227234909,238.50788582340886,0.26211203603507366,-0.0009497625990100289,-0.001550350623818808
0.7887257843642366,-0.294421638892336,0.001895950303499361,238.6595030321762,0.2733291455268871,-0.0009861272046129965,-0.0016193148828012038
0.7877042255282907,-0.29610960356598165,0.0019730198161130386,238.81760887820744,0.2844395803074334,-0.0010215588359459016,-0.0016879646736456255
0.7866481814835874,-0.29786591578773614,0.0020493563976618197,238.98214165455786,0.2954443548532167,-0.0010560440447032748,-0.0017563122217544858
0.7855586116607136,-0.29969028483758076,0.0021249670183200887,239.15304024112567,0.3063444739930696,-0.0010895698228737816,-0.0018243690498446208
0.7844364880713925,-0.30158243082322295,0.0021998585819758168,239.3302440990518,0.3171409329999025,-0.0011221235893210668,-0.0018921459856421907
0.7832827948942644,-0.30354208399300875,0.0022740379268612635,239.51369326520782,0.3278347176815804,-0.0011536931771281012,-0.001959653169785802
0.7820985280725862,-0.305568984056927,0.002347511826176769,239.70332834671058,0.33842680447093554,-0.0011842668216782704,-0.0020269000639182577
0.7808846949231406,-0.30766287951588034,0.0024202869887098768,239.8990905155057,0.3489181605149239,-0.0012138331494455645,-0.002093895458953332
0.779642313755674,-0.30982352699938,0.002492370059447214,240.1009215029943,0.35930974376293395,-0.0012423811674665552,-0.0021606474834996447
0.778372413502205,-0.31205069061181,0.0025637676201819026,240.3087635947104,0.36960250305425546,-0.0012699002534690695,-0.0022271636124300276
0.7770760333555744,-0.3143441412873911,0.0026344861901139616,240.52255962505183,0.3797973782047165,-0.0012963801466305824,-0.0022934506755810657
0.7757542224166319,-0.3167036561539636,0.0027045322264459687,240.7422529720626,0.3898953000924966,-0.0013218109389424582,-0.002359514866572543
0.7744080393494768,-0.3191290179056976,0.0027739121249724845,240.96778755226063,0.39989719074312396,-0.0013461830671551711,-0.0024253617517339676
0.7730385520441961,-0.3216200141848261,0.002842632220663967,241.19910781552014,0.4098039634136638,-0.0013694873052806367,-0.002490996279128521
0.7716468372865668,-0.32417643697249066,0.002910698788245506,241.4361587399917,0.4196165226761069,-0.0013917147576293365,-0.0025564227876645473
0.7702339804342091,-0.32679808198877597,0.002978118042769247,241.67888582709145,0.4293357644999641,-0.0014128568523577023,-0.002621645016285312
0.7688010750987022,-0.32948474810200523,0.0030448961401825405,241.92723509650907,0.4389625763340764,-0.0014329053355068844,-0.0026866661132292635
0.7673492228331946,-0.3322362367473576,0.00311103917788935,242.18115308129492,0.44849783718764635,-0.0014518522655075916,-0.0027514886453523513
0.7658795328250603,-0.3350523513548637,0.0031765531953076736,242.44058682296168,0.4579424177104988,-0.00146969000813435,-0.002816114607506137
